,Year,Season,Player,Pos,Age,Team,G,GS,MPPG,TGP_prior_seasons,TMP_current_season,TMP_prior_seasons
9248,2005,post,Ronnie Price,PG,22,Sacramento Kings,4,0,2.3,29.0,9.2,150.8
9249,2005,post,Tayshaun Prince,SF,25,Detroit Pistons,18,18,41.4,351.0,745.1999999999999,11272.2
9250,2005,post,Vladimir Radmanovic,PF,25,Los Angeles Clippers,12,2,20.5,361.0,246.0,9522.4
9251,2005,post,Zeljko Rebraca,C,33,Los Angeles Clippers,3,0,7.3,224.0,21.9,3377.2
9252,2005,post,Michael Redd,SG,26,Milwaukee Bucks,5,5,37.0,403.0,185.0,13076.3
9253,2005,post,Clifford Robinson,PF,39,New Jersey Nets,8,0,24.8,1069.0,198.4,35674.8
9254,2005,post,Quinton Ross,SF,24,Los Angeles Clippers,12,10,24.5,145.0,294.0,3175.6000000000004
9255,2005,post,Michael Ruffin,C,29,Washington Wizards,6,0,11.7,336.0,70.19999999999999,5184.1
9256,2005,post,Luke Schenscher,C,23,Chicago Bulls,3,0,5.7,20.0,17.1,150.0
9257,2005,post,Wayne Simien,PF,22,Miami Heat,2,0,3.5,43.0,7.0,412.8
9258,2005,post,Bobby Simmons,SF,25,Milwaukee Bucks,5,5,31.8,272.0,159.0,7430.1
9259,2005,post,James Singleton,SF,24,Los Angeles Clippers,7,0,1.7,59.0,11.9,755.2
9260,2005,post,Joe Smith,PF,30,Milwaukee Bucks,5,0,21.2,772.0,106.0,22494.1
9261,2005,post,Eric Snow,PG,32,Cleveland Cavaliers,13,13,31.4,813.0,408.2,22730.9
9262,2005,post,Jerry Stackhouse,SG,31,Dallas Mavericks,22,1,32.3,750.0,710.5999999999999,26315.800000000003
9263,2005,post,Peja Stojakovic,SF,28,Indiana Pacers,2,2,25.5,615.0,51.0,21258.1
9264,2005,post,Mike Sweetney,C,23,Chicago Bulls,6,6,20.0,189.0,120.0,3283.0
9265,2005,post,Donell Taylor,SG,23,Washington Wizards,1,0,3.0,51.0,3.0,464.09999999999997
9266,2005,post,Jason Terry,PG,28,Dallas Mavericks,22,22,38.4,576.0,844.8,19742.5
9267,2005,post,Billy Thomas,SG,30,Washington Wizards,3,0,4.7,44.0,14.100000000000001,487.9
9268,2005,post,Etan Thomas,C,27,Washington Wizards,3,0,6.0,290.0,18.0,5258.4
9269,2005,post,John Thomas,C,30,New Jersey Nets,8,0,7.0,209.0,56.0,2252.5000000000005
9270,2005,post,Kenny Thomas,PF,28,Sacramento Kings,6,6,24.7,530.0,148.2,15791.3
9271,2005,post,Kurt Thomas,C,33,Phoenix Suns,1,0,6.0,728.0,6.0,20599.8
9272,2005,post,Tim Thomas,PF,28,Phoenix Suns,20,14,31.8,636.0,636.0,16708.8
9273,2005,post,Jamaal Tinsley,PG,27,Indiana Pacers,1,0,7.0,323.0,7.0,9415.0
9274,2005,post,Jake Tsakalidis,C,26,Memphis Grizzlies,4,3,14.8,284.0,59.2,4695.5
9275,2005,post,Nikoloz Tskitishvili,SF,22,Phoenix Suns,4,0,2.0,172.0,8.0,1947.5
9276,2005,post,Ronny Turiaf,C,23,Los Angeles Lakers,3,0,8.3,23.0,24.900000000000002,161.0
9277,2005,post,Beno Udrih,PG,23,San Antonio Spurs,7,0,6.7,155.0,46.9,1982.1
9278,2005,post,Nick Van Exel,PG,34,San Antonio Spurs,12,0,11.1,944.0,133.2,31232.800000000003
9279,2005,post,Keith Van Horn,SF,30,Dallas Mavericks,14,3,12.3,618.0,172.20000000000002,19444.7
9280,2005,post,Anderson Varejao,C,23,Cleveland Cavaliers,13,0,18.3,102.0,237.9,1622.4
9281,2005,post,Jacque Vaughn,SG,30,New Jersey Nets,11,0,14.5,636.0,159.5,10752.8
9282,2005,post,Sasha Vujacic,PG,21,Los Angeles Lakers,7,0,18.4,117.0,128.79999999999998,1853.8999999999999
9283,2005,post,Dwyane Wade,SG,24,Miami Heat,23,23,41.7,240.0,959.1,9076.900000000001
9284,2005,post,Antoine Walker,PF,29,Miami Heat,23,23,37.5,806.0,862.5,30321.899999999998
9285,2005,post,Ben Wallace,C,31,Detroit Pistons,18,18,35.7,773.0,642.6,24718.600000000002
9286,2005,post,Rasheed Wallace,PF,31,Detroit Pistons,18,18,34.9,889.0,628.1999999999999,30798.4
9287,2005,post,Luke Walton,SF,25,Los Angeles Lakers,7,7,33.6,219.0,235.20000000000002,2961.8
9288,2005,post,Hakim Warrick,PF,23,Memphis Grizzlies,3,1,14.3,68.0,42.900000000000006,720.8
9289,2005,post,Bonzi Wells,SG,29,Sacramento Kings,6,6,41.5,520.0,249.0,13657.699999999999
9290,2005,post,Jiri Welsch,SF,26,Milwaukee Bucks,4,0,3.8,251.0,15.2,4693.7
9291,2005,post,Jason Williams,PG,30,Miami Heat,23,23,29.8,577.0,685.4,18187.9
9292,2005,post,Mo Williams,PG,23,Milwaukee Bucks,5,0,15.0,195.0,75.0,4556.7
9293,2005,post,Corliss Williamson,SF,32,Sacramento Kings,3,0,3.7,817.0,11.100000000000001,18497.2
9294,2005,post,Metta World Peace,SF,26,Sacramento Kings,5,5,39.6,434.0,198.0,14781.400000000001
9295,2005,post,Antoine Wright,SG,21,New Jersey Nets,5,0,2.0,39.0,10.0,370.5
9296,2005,post,Lorenzen Wright,C,30,Memphis Grizzlies,4,0,21.5,687.0,86.0,17498.2
9297,2006,regular,Shareef Abdur-Rahim,C,30,Sacramento Kings,80,45,25.2,750.0,2016.0,26942.4
9298,2006,regular,Hassan Adams,SG,22,New Jersey Nets,61,8,8.1,0.0,494.09999999999997,0.0
9299,2006,regular,Maurice Ager,SG,22,Dallas Mavericks,32,1,6.7,0.0,214.4,0.0
9300,2006,regular,LaMarcus Aldridge,C,21,Portland Trailblazers,63,22,22.1,0.0,1392.3000000000002,0.0
9301,2006,regular,Malik Allen,PF,28,Chicago Bulls,60,1,10.6,243.0,636.0,4571.500000000001
9302,2006,regular,Ray Allen,SG,31,Seattle Supersonics,55,55,40.3,772.0,2216.5,28891.6
9303,2006,regular,Tony Allen,SG,25,Boston Celtics,33,18,24.4,135.0,805.1999999999999,2332.2999999999997
9304,2006,regular,Rafer Alston,PG,30,Houston Rockets,82,82,37.1,408.0,3042.2000000000003,10286.6
9305,2006,regular,Lou Amundson,PF,24,TOT,11,0,8.1,0.0,89.1,0.0
9308,2006,regular,Alan Anderson,SG,24,Charlotte Bobcats,17,0,15.1,36.0,256.7,565.1999999999998
9309,2006,regular,Derek Anderson,SF,32,Charlotte Bobcats,50,32,23.8,561.0,1190.0,16854.6
9310,2006,regular,Carmelo Anthony,SF,22,Denver Nuggets,65,65,38.2,251.0,2483.0,9063.2
9311,2006,regular,Rafael Araujo,C,26,Utah Jazz,28,0,8.9,111.0,249.20000000000002,1340.6999999999998
9312,2006,regular,Gilbert Arenas,PG,25,Washington Wizards,74,73,39.8,360.0,2945.2,13484.0
9313,2006,regular,Trevor Ariza,SG,21,Orlando Magic,57,7,22.4,137.0,1276.8,2381.5
9314,2006,regular,Darrell Armstrong,PG,38,Indiana Pacers,81,4,15.7,760.0,1271.7,19216.4
9315,2006,regular,Hilton Armstrong,C,22,New Orleans Hornets,56,5,11.3,0.0,632.8000000000001,0.0
9316,2006,regular,Carlos Arroyo,PG,27,Orlando Magic,72,5,18.1,321.0,1303.2,5484.900000000001
9317,2006,regular,Chucky Atkins,PG,32,Memphis Grizzlies,75,23,27.5,559.0,2062.5,14668.900000000001
9318,2006,regular,James Augustine,PF,22,Orlando Magic,2,0,3.5,0.0,7.0,0.0
9319,2006,regular,Kelenna Azubuike,SG,23,Golden State Warriors,41,9,16.3,0.0,668.3000000000001,0.0
9320,2006,regular,Renaldo Balkman,SF,22,New York Knicks,68,1,15.6,0.0,1060.8,0.0
9321,2006,regular,Marcus Banks,PG,25,Phoenix Suns,45,1,11.2,231.0,503.99999999999994,4189.299999999999
9322,2006,regular,Leandro Barbosa,SG,24,Phoenix Suns,80,18,32.7,222.0,2616.0,4926.6
9323,2006,regular,JJ Barea,PG,22,Dallas Mavericks,33,1,5.8,0.0,191.4,0.0
9324,2006,regular,Andrea Bargnani,PF,21,Toronto Raptors,65,2,25.1,0.0,1631.5,0.0
9325,2006,regular,Matt Barnes,PF,26,Golden State Warriors,76,23,23.9,137.0,1816.3999999999999,2072.4000000000005
9326,2006,regular,Andre Barrett,PG,24,Chicago Bulls,6,0,4.8,57.0,28.799999999999997,763.8
9327,2006,regular,Earl Barron,C,25,Miami Heat,28,0,7.3,8.0,204.4,44.79999999999998
9328,2006,regular,Brent Barry,SG,35,San Antonio Spurs,75,28,21.7,799.0,1627.5,21840.899999999998
9329,2006,regular,Brandon Bass,PF,21,New Orleans Hornets,21,3,7.7,29.0,161.70000000000002,266.79999999999995
9330,2006,regular,Maceo Baston,PF,31,Indiana Pacers,47,2,8.6,16.0,404.2,105.59999999999997
9331,2006,regular,Esteban Batista,PF,23,Atlanta Hawks,13,0,6.2,57.0,80.60000000000001,495.9
9332,2006,regular,Tony Battie,PF,30,Orlando Magic,66,66,23.9,640.0,1577.3999999999999,14723.1
9333,2006,regular,Shane Battier,SF,28,Houston Rockets,82,82,36.4,408.0,2984.7999999999997,13099.400000000001
9334,2006,regular,Charlie Bell,SG,27,Milwaukee Bucks,82,64,34.7,71.0,2845.4,1432.4
9335,2006,regular,Raja Bell,SG,30,Phoenix Suns,78,78,37.4,430.0,2917.2,9967.0
9336,2006,regular,Mike Bibby,PG,28,Sacramento Kings,82,82,34.0,644.0,2788.0,23846.6
9337,2006,regular,Andris Biedrins,C,20,Golden State Warriors,82,63,29.0,98.0,2378.0,1383.6
9338,2006,regular,Chauncey Billups,PG,30,Detroit Pistons,70,70,36.2,696.0,2534.0,22239.799999999996
9339,2006,regular,Steve Blake,PG,26,TOT,82,42,27.1,191.0,2222.2000000000003,3840.6
9342,2006,regular,Will Blalock,PG,23,Detroit Pistons,14,0,11.9,0.0,166.6,0.0
9343,2006,regular,Andray Blatche,PF,20,Washington Wizards,56,13,12.2,29.0,683.1999999999999,174.0
9344,2006,regular,Mark Blount,C,31,Minnesota Timberwolves,82,81,31.0,456.0,2542.0,10065.599999999999
9345,2006,regular,Keith Bogans,SG,26,Orlando Magic,59,18,16.8,219.0,991.2,5494.5
9346,2006,regular,Andrew Bogut,C,22,Milwaukee Bucks,66,66,34.2,87.0,2257.2000000000003,2517.2000000000003
9347,2006,regular,Matt Bonner,PF,26,San Antonio Spurs,56,0,11.7,160.0,655.1999999999999,3258.0
9348,2006,regular,Josh Boone,PF,22,New Jersey Nets,61,0,11.0,0.0,671.0,0.0
9349,2006,regular,Calvin Booth,C,30,Washington Wizards,44,1,8.6,293.0,378.4,3974.0000000000005
9350,2006,regular,Carlos Boozer,PF,25,Utah Jazz,74,74,34.6,240.0,2560.4,7440.300000000001
9351,2006,regular,Chris Bosh,C,22,Toronto Raptors,69,69,38.5,226.0,2656.5,8276.7
9352,2006,regular,Bruce Bowen,SF,35,San Antonio Spurs,82,82,30.0,723.0,2460.0,20493.4
9353,2006,regular,Earl Boykins,PG,30,TOT,66,23,30.8,433.0,2032.8,8674.599999999999
9356,2006,regular,Cedric Bozeman,SG,23,Atlanta Hawks,23,5,8.7,0.0,200.1,0.0
9357,2006,regular,Elton Brand,PF,27,Los Angeles Clippers,80,80,38.5,538.0,3080.0,20665.7
9358,2006,regular,Ronnie Brewer,SG,21,Utah Jazz,56,14,12.1,0.0,677.6,0.0
9359,2006,regular,Primoz Brezec,C,27,Charlotte Bobcats,58,40,14.4,213.0,835.2,4782.4
9360,2006,regular,Andre Brown,PF,25,Seattle Supersonics,38,0,7.1,0.0,269.8,0.0
9361,2006,regular,Dee Brown,PG,22,Utah Jazz,49,0,9.2,425.0,450.79999999999995,12003.5
9362,2006,regular,Devin Brown,SG,28,New Orleans Hornets,58,49,28.7,237.0,1664.6,3857.600000000001
9363,2006,regular,Kwame Brown,C,24,Los Angeles Lakers,41,28,27.6,335.0,1131.6000000000001,8005.199999999999
9364,2006,regular,PJ Brown,PF,37,Chicago Bulls,72,49,20.2,1070.0,1454.3999999999999,34460.8
9365,2006,regular,Shannon Brown,SG,21,Cleveland Cavaliers,23,5,8.8,0.0,202.4,0.0
9366,2006,regular,Kobe Bryant,SG,28,Los Angeles Lakers,77,77,40.8,833.0,3141.6,30100.4
9367,2006,regular,Greg Buckner,SG,30,Dallas Mavericks,76,11,18.1,432.0,1375.6000000000001,8654.599999999999
9368,2006,regular,Pat Burke,C,33,Phoenix Suns,23,0,7.1,113.0,163.29999999999998,1175.7
9369,2006,regular,Caron Butler,SF,26,Washington Wizards,63,63,39.3,317.0,2475.8999999999996,11117.5
9370,2006,regular,Jackie Butler,C,21,San Antonio Spurs,11,2,9.4,58.0,103.4,747.6
9371,2006,regular,Rasual Butler,SF,27,New Orleans Hornets,81,38,27.4,283.0,2219.4,5502.200000000001
9372,2006,regular,Andrew Bynum,C,19,Los Angeles Lakers,82,53,21.9,47.0,1795.8,337.79999999999995
9373,2006,regular,Jose Calderon,PG,25,Toronto Raptors,77,11,21.0,64.0,1617.0,1484.8000000000002
9374,2006,regular,Marcus Camby,C,32,Denver Nuggets,70,70,33.8,601.0,2366.0,17761.0
9375,2006,regular,Brian Cardinal,PF,29,Memphis Grizzlies,28,1,11.2,205.0,313.59999999999997,3753.9
9376,2006,regular,Rodney Carney,SF,22,Philadelphia 76ers,67,35,17.4,0.0,1165.8,0.0
9377,2006,regular,Matt Carroll,SG,26,Charlotte Bobcats,72,47,26.1,119.0,1879.2,1771.8
9378,2006,regular,Anthony Carter,PG,31,Denver Nuggets,2,0,18.5,375.0,37.0,7203.599999999999
9379,2006,regular,Vince Carter,SG,30,New Jersey Nets,82,82,38.1,569.0,3124.2000000000003,21529.000000000004
9380,2006,regular,Sam Cassell,PG,37,Los Angeles Clippers,58,30,24.3,995.0,1409.4,30400.9
9381,2006,regular,Kelvin Cato,C,32,New York Knicks,18,0,5.3,544.0,95.39999999999999,10790.700000000003
9382,2006,regular,Tyson Chandler,C,24,New Orleans Hornets,73,73,34.6,352.0,2525.8,8587.3
9383,2006,regular,Josh Childress,SG,23,Atlanta Hawks,55,13,36.8,154.0,2023.9999999999998,4625.6
9384,2006,regular,Doug Christie,SG,36,Los Angeles Clippers,7,0,11.7,850.0,81.89999999999999,27520.999999999993
9385,2006,regular,Speedy Claxton,PG,28,Atlanta Hawks,42,31,25.1,319.0,1054.2,7852.599999999999
9386,2006,regular,Jarron Collins,C,28,Utah Jazz,82,9,11.1,306.0,910.1999999999999,6332.9
9387,2006,regular,Jason Collins,PF,28,New Jersey Nets,80,78,23.1,450.0,1848.0,11429.8
9388,2006,regular,Mardy Collins,SF,22,New York Knicks,52,9,14.9,0.0,774.8000000000001,0.0
9389,2006,regular,Nick Collison,C,26,Seattle Supersonics,82,56,29.0,159.0,2378.0,3057.2
9390,2006,regular,Will Conroy,PG-SG,24,TOT,7,0,7.4,0.0,51.800000000000004,0.0
9393,2006,regular,Brian Cook,PF,26,Los Angeles Lakers,65,24,15.7,208.0,1020.5,3190.3999999999996
9394,2006,regular,Jamal Crawford,SG,26,New York Knicks,59,36,37.3,393.0,2200.7,11569.599999999999
9395,2006,regular,Austin Croshere,PF,31,Dallas Mavericks,61,2,11.9,605.0,725.9,11390.3
9396,2006,regular,Eddy Curry,C,24,New York Knicks,81,81,35.2,361.0,2851.2000000000003,8549.8
9397,2006,regular,Samuel Dalembert,C,25,Philadelphia 76ers,82,82,30.9,259.0,2533.7999999999997,6114.200000000001
9398,2006,regular,Erick Dampier,C,31,Dallas Mavericks,76,73,25.2,670.0,1915.2,17081.600000000002
9399,2006,regular,Antonio Daniels,SG,31,Washington Wizards,80,8,22.0,708.0,1760.0,16152.3
9400,2006,regular,Marquis Daniels,SG,26,Indiana Pacers,45,4,17.8,214.0,801.0,4789.6
9401,2006,regular,Baron Davis,PG,27,Golden State Warriors,63,62,35.3,498.0,2223.8999999999996,17475.4
9402,2006,regular,Dale Davis,C,37,Detroit Pistons,46,6,10.1,1024.0,464.59999999999997,29007.600000000006
9403,2006,regular,Paul Davis,C,22,Los Angeles Clippers,31,0,5.8,0.0,179.79999999999998,0.0
9404,2006,regular,Ricky Davis,SF,27,Minnesota Timberwolves,81,81,37.3,512.0,3021.2999999999997,15017.400000000001
9405,2006,regular,Carlos Delfino,SG,24,Detroit Pistons,82,1,16.7,106.0,1369.3999999999999,1218.6000000000001
9406,2006,regular,Luol Deng,SF,21,Chicago Bulls,82,82,37.5,145.0,3075.0,4450.5
9407,2006,regular,Boris Diaw,PF,24,Phoenix Suns,73,59,31.1,243.0,2270.3,6795.499999999999
9408,2006,regular,Yakhouba Diawara,SG,24,Denver Nuggets,64,19,18.4,0.0,1177.6,0.0
9409,2006,regular,Dan Dickau,PG,28,Portland Trailblazers,50,3,8.9,183.0,445.0,3128.5
9410,2006,regular,Travis Diener,PG,24,Orlando Magic,26,0,11.1,23.0,288.59999999999997,246.09999999999997
9411,2006,regular,Ike Diogu,PF,23,TOT,59,2,12.9,69.0,761.1,1028.1000000000004
9414,2006,regular,DeSagana Diop,C,25,Dallas Mavericks,81,9,18.3,296.0,1482.3,3999.6000000000004
9415,2006,regular,Juan Dixon,SG,28,TOT,81,6,23.8,262.0,1927.8,5317.5
9418,2006,regular,Michael Doleac,C,29,Miami Heat,56,0,12.5,537.0,700.0,8116.9000000000015
9419,2006,regular,Keyon Dooling,SG,26,Orlando Magic,66,2,21.7,342.0,1432.2,6082.0
9420,2006,regular,Quincy Douby,PG,22,Sacramento Kings,42,0,8.5,0.0,357.0,0.0
9421,2006,regular,Chris Duhon,PG,24,Chicago Bulls,78,30,24.4,168.0,1903.1999999999998,4616.2
9422,2006,regular,Tim Duncan,C,30,San Antonio Spurs,80,80,34.1,784.0,2728.0,30050.0
9423,2006,regular,Mike Dunleavy,SG-PF,26,TOT,82,49,31.5,317.0,2583.0,8779.6
9426,2006,regular,Ronald Dupree,SF,26,Detroit Pistons,19,0,4.9,144.0,93.10000000000001,1667.2
9427,2006,regular,Monta Ellis,SG,21,Golden State Warriors,77,53,34.3,49.0,2641.1,886.9000000000001
9428,2006,regular,Francisco Elson,C,30,San Antonio Spurs,70,41,19.0,211.0,1330.0,3530.0
9429,2006,regular,Melvin Ely,PF-C,28,TOT,30,0,10.3,230.0,309.0,4305.3
9432,2006,regular,Maurice Evans,SG,28,Los Angeles Lakers,76,10,22.8,174.0,1732.8,2572.8999999999996
9433,2006,regular,Reggie Evans,PF,26,Denver Nuggets,66,11,17.1,304.0,1128.6000000000001,6200.0
9434,2006,regular,Daniel Ewing,PG,23,Los Angeles Clippers,61,3,11.7,72.0,713.6999999999999,974.9999999999999
9435,2006,regular,Jordan Farmar,PG,20,Los Angeles Lakers,72,2,15.1,0.0,1087.2,0.0
9436,2006,regular,Desmon Farmer,SG,25,Seattle Supersonics,8,0,4.0,0.0,32.0,0.0
9437,2006,regular,Raymond Felton,PG,22,Charlotte Bobcats,78,75,36.3,80.0,2831.3999999999996,2408.0
9438,2006,regular,Michael Finley,SF,33,San Antonio Spurs,82,16,22.2,881.0,1820.3999999999999,33650.100000000006
9439,2006,regular,Derek Fisher,SG,32,Utah Jazz,82,61,27.9,817.0,2287.7999999999997,20737.7
9440,2006,regular,TJ Ford,PG,23,Toronto Raptors,75,71,29.9,132.0,2242.5,4192.0
9441,2006,regular,Danny Fortson,C,30,Seattle Supersonics,14,6,11.3,437.0,158.20000000000002,8779.599999999999
9442,2006,regular,Jeff Foster,C,30,Indiana Pacers,75,43,23.2,503.0,1740.0,9756.7
9443,2006,regular,Randy Foye,PG,23,Minnesota Timberwolves,82,12,22.9,0.0,1877.8,0.0
9444,2006,regular,Adonal Foyle,C,31,Golden State Warriors,48,6,9.9,593.0,475.20000000000005,11753.2
9445,2006,regular,Steve Francis,SG,29,New York Knicks,44,30,28.1,527.0,1236.4,20422.600000000002
9446,2006,regular,Matt Freije,PF,25,Atlanta Hawks,19,0,7.7,23.0,146.3,441.59999999999997
9447,2006,regular,Channing Frye,PF,23,New York Knicks,72,59,26.3,65.0,1893.6000000000001,1573.0000000000002
9448,2006,regular,Dan Gadzuric,C,28,Milwaukee Bucks,54,8,15.6,284.0,842.4,4714.5
9449,2006,regular,Jorge Garbajosa,PF,29,Toronto Raptors,67,60,28.5,0.0,1909.5,0.0
9450,2006,regular,Francisco Garcia,SF,25,Sacramento Kings,79,5,17.8,73.0,1406.2,1340.6000000000001
9451,2006,regular,Kevin Garnett,PF,30,Minnesota Timberwolves,76,76,39.4,898.0,2994.4,34545.9
9452,2006,regular,Pat Garrity,PF,30,Orlando Magic,33,0,8.4,506.0,277.2,10987.3
9453,2006,regular,Pau Gasol,C,26,Memphis Grizzlies,59,59,36.2,390.0,2135.8,13771.600000000002
9454,2006,regular,Rudy Gay,SF,20,Memphis Grizzlies,78,43,27.0,0.0,2106.0,0.0
9455,2006,regular,Mickael Gelabale,SF,23,Seattle Supersonics,70,14,17.7,0.0,1239.0,0.0
9456,2006,regular,Devean George,SF,29,Dallas Mavericks,60,17,21.4,504.0,1284.0,9420.800000000001
9457,2006,regular,Daniel Gibson,PG,20,Cleveland Cavaliers,60,16,16.5,0.0,990.0,0.0
9458,2006,regular,Manu Ginobili,SG,29,San Antonio Spurs,75,36,27.5,355.0,2062.5,9835.199999999999
9459,2006,regular,Gordan Giricek,SG,29,Utah Jazz,61,6,19.5,274.0,1189.5,7033.200000000001
9460,2006,regular,Andreas Glyniadakis,C,25,Seattle Supersonics,13,4,6.2,0.0,80.60000000000001,0.0
9461,2006,regular,Ryan Gomes,PF,24,Boston Celtics,73,60,31.2,61.0,2277.6,1378.6
9462,2006,regular,Drew Gooden,PF,25,Cleveland Cavaliers,80,80,28.0,330.0,2240.0,9223.0
9463,2006,regular,Ben Gordon,SG,23,Chicago Bulls,82,51,33.0,174.0,2706.0,4878.6
9464,2006,regular,Joey Graham,SF,24,Toronto Raptors,79,21,16.7,80.0,1319.3,1584.0000000000002
9465,2006,regular,Stephen Graham,SG,24,Portland Trailblazers,14,1,11.8,22.0,165.20000000000002,176.00000000000003
9466,2006,regular,Danny Granger,SF,23,Indiana Pacers,82,57,34.0,84.0,2788.0,1924.8000000000002
9467,2006,regular,Gerald Green,SF,21,Boston Celtics,81,26,22.0,32.0,1782.0,374.4000000000001
9468,2006,regular,Willie Green,SG,25,Philadelphia 76ers,74,36,24.9,125.0,1842.6,2050.3999999999996
9469,2006,regular,Orien Greene,SG,24,Indiana Pacers,41,0,6.2,80.0,254.20000000000002,1232.0
9470,2006,regular,Lynn Greer,SG,27,Milwaukee Bucks,41,0,10.5,0.0,430.5,0.0
9471,2006,regular,Adrian Griffin,SF,32,Chicago Bulls,54,1,10.8,432.0,583.2,7733.600000000001
9472,2006,regular,Eddie Griffin,PF,24,Minnesota Timberwolves,13,0,7.1,290.0,92.3,6633.5
9473,2006,regular,Mike Hall,SF,22,Washington Wizards,2,0,6.5,0.0,13.0,0.0
9474,2006,regular,Richard Hamilton,SG,28,Detroit Pistons,75,75,36.8,611.0,2760.0,20607.700000000004
9475,2006,regular,Matt Harpring,SF,30,Utah Jazz,77,2,25.5,463.0,1963.5,13911.6
9476,2006,regular,Al Harrington,PF,26,TOT,78,78,32.9,521.0,2566.2,15030.0
9479,2006,regular,Junior Harrington,PG,26,Memphis Grizzlies,29,8,18.7,111.0,542.3,2551.8
9480,2006,regular,Othella Harrington,PF,33,Charlotte Bobcats,26,0,8.5,689.0,221.0,13810.2
9481,2006,regular,Devin Harris,PG,23,Dallas Mavericks,80,61,26.0,164.0,2080.0,3086.2000000000007
9482,2006,regular,David Harrison,C,24,Indiana Pacers,24,2,7.9,116.0,189.60000000000002,1824.1000000000004
9483,2006,regular,Jason Hart,PG,28,TOT,36,22,23.5,216.0,846.0,3584.2000000000007
9486,2006,regular,Udonis Haslem,PF,26,Miami Heat,79,79,31.4,286.0,2480.6,8350.2
9487,2006,regular,Trenton Hassell,SG,27,Minnesota Timberwolves,76,68,29.3,418.0,2226.8,11555.600000000002
9488,2006,regular,Chuck Hayes,PF,23,Houston Rockets,78,43,22.0,40.0,1716.0,536.0
9489,2006,regular,Jarvis Hayes,SF,25,Washington Wizards,81,17,20.1,145.0,1628.1000000000001,4121.2
9490,2006,regular,Brendan Haywood,C,27,Washington Wizards,77,49,22.6,383.0,1740.2,8872.9
9491,2006,regular,Luther Head,SG,24,Houston Rockets,80,10,27.6,80.0,2208.0,2312.0
9492,2006,regular,Alan Henderson,PF,34,Philadelphia 76ers,38,5,11.0,650.0,418.0,13866.699999999999
9493,2006,regular,Walter Herrmann,PF,27,Charlotte Bobcats,48,12,19.5,0.0,936.0,0.0
9494,2006,regular,Nene Hilario,C,24,Denver Nuggets,64,42,26.8,223.0,1715.2,6309.0
9495,2006,regular,Grant Hill,SG,34,Orlando Magic,65,64,30.9,585.0,2008.5,22000.600000000002
9496,2006,regular,Kirk Hinrich,PG,26,Chicago Bulls,80,80,35.5,246.0,2840.0,8911.9
9497,2006,regular,Robert Hite,SG,23,Miami Heat,12,0,11.3,0.0,135.60000000000002,0.0
9498,2006,regular,Julius Hodge,SG,23,TOT,9,1,7.2,14.0,64.8,33.60000000000001
9501,2006,regular,Ryan Hollins,C,22,Charlotte Bobcats,27,0,6.9,0.0,186.3,0.0
9502,2006,regular,Robert Horry,PF,36,San Antonio Spurs,68,8,16.5,1114.0,1122.0,28967.300000000007
9503,2006,regular,Eddie House,SG,28,New Jersey Nets,56,1,16.9,398.0,946.3999999999999,6515.3
9504,2006,regular,Dwight Howard,C,21,Orlando Magic,82,82,36.9,164.0,3025.7999999999997,5690.800000000001
9505,2006,regular,Josh Howard,SF,26,Dallas Mavericks,70,69,35.1,243.0,2457.0,7289.700000000001
9506,2006,regular,Juwan Howard,PF,33,Houston Rockets,80,38,26.5,884.0,2120.0,31757.199999999997
9507,2006,regular,Troy Hudson,PG,30,Minnesota Timberwolves,34,6,16.3,488.0,554.2,11014.400000000001
9508,2006,regular,Larry Hughes,SG,28,Cleveland Cavaliers,70,68,37.1,507.0,2597.0,15983.400000000001
9509,2006,regular,Kris Humphries,PF,21,Toronto Raptors,60,2,11.2,129.0,672.0,1491.0
9510,2006,regular,Lindsey Hunter,PG,36,Detroit Pistons,52,0,14.3,937.0,743.6,23707.8
9511,2006,regular,Steven Hunter,PF,25,Philadelphia 76ers,70,41,22.9,312.0,1603.0,4362.9
9512,2006,regular,Andre Iguodala,SG,23,Philadelphia 76ers,76,76,40.3,169.0,3062.7999999999997,5964.800000000001
9513,2006,regular,Zydrunas Ilgauskas,C,31,Cleveland Cavaliers,78,78,27.3,508.0,2129.4,14857.1
9514,2006,regular,Mile Ilic,C,22,New Jersey Nets,5,0,1.2,0.0,6.0,0.0
9515,2006,regular,Didier Ilunga-Mbenga,C,26,Dallas Mavericks,21,0,3.8,65.0,79.8,320.2
9516,2006,regular,Ersan Ilyasova,PF,19,Milwaukee Bucks,66,14,14.7,0.0,970.1999999999999,0.0
9517,2006,regular,Allen Iverson,SG-PG,31,TOT,65,64,42.5,744.0,2762.5,31274.9
9520,2006,regular,Royal Ivey,PG,25,Atlanta Hawks,53,18,10.2,135.0,540.5999999999999,1784.2000000000003
9521,2006,regular,Jarrett Jack,PG,23,Portland Trailblazers,79,79,33.6,79.0,2654.4,1595.7999999999997
9522,2006,regular,Bobby Jackson,SG,33,New Orleans Hornets,56,2,23.8,608.0,1332.8,13712.1
9523,2006,regular,Luke Jackson,SF,25,TOT,13,2,10.6,46.0,137.79999999999998,359.80000000000007
9526,2006,regular,Marc Jackson,PF,32,New Orleans Hornets,56,25,18.3,343.0,1024.8,6720.6
9527,2006,regular,Stephen Jackson,SF-SG,28,TOT,75,69,33.1,435.0,2482.5,13314.099999999999
